Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
2016.09.18.c,18-Sep-16,2016,Unprovoked,USA,Surfing,M,16,Minor injury to thigh,N,13h00,,5993
2016.09.18.b,18-Sep-16,2016,Unprovoked,USA,Surfing,M,36,Lacerations to hands,N,11h00,,5992
2016.09.18.a,18-Sep-16,2016,Unprovoked,USA,Surfing,M,43,Lacerations to lower leg,N,10h43,,5991
2016.09.17,17-Sep-16,2016,Unprovoked,AUSTRALIA,Surfing,M,,Struck by fin on chest & leg,N,,,5990
2016.09.15,16-Sep-16,2016,Unprovoked,AUSTRALIA,Surfing,M,,No injury: Knocked off board by shark,N,,2 m shark,5989
2016.09.15.R,15-Sep-16,2016,Boat,AUSTRALIA,Fishing,,,Shark rammed boat. No injury to occupant,N,,,5988
2016.09.11,11-Sep-16,2016,Unprovoked,USA,Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,5987
2016.09.07,07-Sep-16,2016,Unprovoked,USA,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10?",5986
2016.09.06,06-Sep-16,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,50,FATAL,Y,15h40,,5985
2016.09.05.b,05-Sep-16,2016,Unprovoked,USA,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon,,5984
2016.09.05.a,05-Sep-16,2016,Unprovoked,AUSTRALIA,Surfing,M,,"No inury, board broken in half by shark",N,Late afternoon,,5983
2016.09.04,04-Sep-16,2016,Unprovoked,USA,Body boarding,M,9,Foot bitten,N,,,5982
2016.09.01,01-Sep-16,2016,Unprovoked,USA,Spearfishing,M,22,Two toes broken & lacerated,N,,White shark,5981
2016.08.29.b,29-Aug-16,2016,Unprovoked,USA,Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",5980
2016.08.29.a,29-Aug-16,2016,Unprovoked,USA,Surfing,M,37,Minor injury to ankle,N,14h00,,5979
2016.08.27,27-Aug-16,2016,Unprovoked,REUNION,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,17h00,"Bull shark, 3.5 m",5978
2016.08.25,25-Aug-16,2016,Unprovoked,USA,Wading,M,49,Minor injury to ankle,N,16h00,,5977
2016.08.07,07-Aug-16,2016,Unprovoked,BAHAMAS,Snorkeling,M,15,Lacerations to left leg,N,,,5976
2016.08.06,06-Aug-16,2016,Unprovoked,USA,SUP Foil boarding,M,21,"No inury, shark & board collided",N,,"Tiger shark, 10' ",5975
2016.08.04,04-Aug-16,2016,Unprovoked,USA,Surfing,M,22,Big toe bitten,N,,Blacktip shark,5974
2016.07.29,29-Jul-16,2016,Unprovoked,SPAIN,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark,5973
2016.07.28.R,28-Jul-16,2016,Unprovoked,CHINA,Swimming,M,72,Lacerations to leg,N,,,5972
2016.07.28,28-Jul-16,2016,Boat,AUSTRALIA,Kayaking,M,,"No injury, shark nudged kayak repeatedly",N,,White shark,5971
2016.07.27,27-Jul-16,2016,Provoked,USA,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'",5970
2016.07.26,26-Jul-16,2016,Unprovoked,AUSTRALIA,Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,5969
2016.07.24,24-Jul-16,2016,Unprovoked,JAPAN,Surfing,M,29,Lacerations to left leg,N,19h05,,5968
2016.07.23.b,23-Jul-16,2016,Unprovoked,AUSTRALIA,Surfing,M,36,Calf bumped but no injury,N,,,5967
2016.07.23.a,23-Jul-16,2016,Unprovoked,BAHAMAS,Spearfishing,M,,Lacerations to face and right leg,N,,"Bull shark, 6'",5966
2016.07.20,20-Jul-16,2016,Provoked,AUSTRALIA,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m",5965
2016.07.17,17-Jul-16,2016,Boat,USA,Fishing in Alabama Deep Fishing Rodeo,,,"No injury, shark bit trolling motor",N,,"Tiger shark, 10' ",5964
2016.07.16.b,16-Jul-16,2016,Unprovoked,USA,Surfing,F,9,Minor injury to leg,N,1300,,5963
2016.07.16.a,16-Jul-16,2016,Unprovoked,USA,,F,11,Minor injury to toes,N,11h00,,5962
2016.07.15,15-Jul-16,2016,Unprovoked,USA,Swimming,M,,Puncture wounds to foot,N,,,5961
2016.07.14.4,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,Scuba Diving,M,,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'",5960
2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark,5959
2016.07.08,08-Jul-16,2016,Boat,USA,Fishing for squid,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,5958
2016.07.07.b,07-Jul-16,2016,Provoked,USA,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,5957
2016.07.07.a,07-Jul-16,2016,Boat,USA,Fishing for sharks,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,5956
2016.07.06,06-Jul-16,2016,Unprovoked,USA,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,5955
2016.07.04,04-Jul-16,2016,Provoked,AUSTRALIA,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,5954
2016.06.27,27-Jun-16,2016,Unprovoked,USA,,M,35,Minor injury,N,16h20,3' to 4' shark,5953
2016.06.25,25-Jun-16,2016,Unprovoked,USA,Surfing,M,11,Foot injured,N,14h34,,5952
2016.06.24,24-Jun-16,2016,Unprovoked,COLUMBIA,Scuba Diving,M,59,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'",5951
2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,5950
2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,5949
2016.06.21.a,21-Jun-16,2016,Unprovoked,USA,Wading,M,,Injuries to right calf,N,14h55,,5948
2016.06.15.b,15-Jun-16,2016,Unprovoked,USA,Surfing,M,,Single puncture wound to arm,N,06h00,3' to 4' shark,5947
2016.06.15.a,15-Jun-16,2016,Provoked,AUSTRALIA,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,5946
2016.06.14,14-Jun-16,2016,Unprovoked,USA,Floating in tube,F,6,Injury to lower leg,N,17h30,3' to 4' shark,5945
2016.06.11,11-Jun-16,2016,Unprovoked,USA,Standing,M,19,Laceration to wrist,N,15h00,3' shark,5944
2016.06.07,07-Jun-16,2016,Invalid,USA,Surfing,M,27,"No injury, board damaged",N,11h30,Said to involve an 8' shark but more likely damage caused by debris,5943
2016.06.05.b,05-Jun-16,2016,Unprovoked,USA,Swimming,M,64,Leg bitten,N,08h30,,5942
2016.06.05.a,05-Jun-16,2016,Unprovoked,AUSTRALIA,Diving,F,60,FATAL,Y,11h30,3+ m shark,5941
2016.06.04,04-Jun-16,2016,Unprovoked,EGYPT,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Morning,Mako shark,5940
2016.06.02.b,02-Jun-16,2016,Unprovoked,AUSTRALIA,Spearfishing,M,,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN,,Bronze whaler sharks x 3,5939
2016.06.02.a,02-Jun-16,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,,Laceration to heel,N,Afternoon,3 m shark,5938
2016.05.31,31-May-16,2016,Unprovoked,AUSTRALIA,Surfing,M,29,FATAL,Y,16h00,White shark,5937
2016.05.29.b,29-May-16,2016,Unprovoked,USA,Swimming,F,52,Injuries to arm and shoulder,N,16h00,,5936
2016.05.29.a,29-May-16,2016,Unprovoked,USA,Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,5935
2016.05.22,22-May-16,2016,Unprovoked,USA,Swimming,F,57,Puncture wounds to thigh,N,12h00,,5934
2016.05.21.b,21-May-16,2016,Unprovoked,USA,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",5933
2016.05.21.a,21-May-16,2016,Unprovoked,USA,Swimming,F,11,"Back, arm & hand injured",N,17h46,,5932
2016.05.18,18-May-16,2016,Unprovoked,USA,Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'",5931
2016.05.15,15-May-16,2016,Provoked,USA,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'",5930
2016.05.03,03-May-16,2016,Unprovoked,USA,Floating,M,59,Minor lacerations to right shoulder,N,15h49,,5929
2016.05.02,02-May-16,2016,Provoked,NEW ZEALAND,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] ",5928
2016.04.25,25-Apr-16,2016,Unprovoked,INDONESIA,Surfing,M,24,Elbow bitten,N,07h00,"Bull shark, 6'",5927
2016.04.23,23-Apr-16,2016,Unprovoked,USA,Surfing,M,15,Minor injury to left foot,N,17h30,,5926
2016.04.22,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Surf-skiing,M,,"No injury, surf-ski bitten",N,08h00,White shark,5925
2016.04.19,19-Apr-16,2016,Unprovoked,AUSTRALIA,Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,5924
2016.04.18,18-Apr-16,2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,,"Grey reef shark, 2 m",5923
2016.04.13,13-Apr-16,2016,Unprovoked,USA,Spearfishing,M,26,Multiple bites to right arm,N,,"Bull shark, 7'",5922
2016.04.09,09-Apr-16,2016,Unprovoked,NEW CALEDONIA,Walking,F,69,FATAL,Y,10h45,"Tiger shark, 2.5 m",5921
2016.04.08,08-Apr-16,2016,Invalid,CAPE VERDE,,M,60,"""Serious""",N,,Shark involvement not confirmed,5920
